0,1,2,3,4,5,6,7,8,9,Area_Origen
1817,TALLER DE INVEST.DOCENCIA SUPERV. I,,,,,,08:00 a 18:00 AULA PENDIENTE,PALAFOX PALAFOX GERMAN,"TEMáTICA: LOS ESTUDIANTES TRABAJARáN EN UN PROYECTO EN UNO DE LOS SIGUIENTES TóPICOS: TOMA DE DECISIONES Y PERCEPCIóN VISUAL; PRE-REQUISITOS: ENTREVISTA PREVIA CON EL PROFESOR, PREVIA A LA INSCRIPCIóN DEL CURSO.",CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO
Selecciona el semestre a consultar  ----------- 2do Semestre 	4to Semestre 	6to Semestre 	8vo Semestre  OPTATIVAS DE GENERO (Plan 2008)  OPTATIVAS,Selecciona el tipo de busqueda  ----------- Grupo 	Asignatura,Selecciona el campo del conocimiento  ----------- CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO 	PROCESOS PSICOSOCIALES Y CULTURALES 	PSICOBIOLOGIA Y NEUROCIENCIAS 	PSICOLOGIA CLINICA Y DE LA SALUD 	PSICOLOGIA DE LA EDUCACION 	PSICOLOGIA ORGANIZACIONAL 	CONTEXTUAL,,,,,,,,PROCESOS PSICOSOCIALES Y CULTURALES
,,,,,,,,,,PROCESOS PSICOSOCIALES Y CULTURALES
,,,,,,,,,,PROCESOS PSICOSOCIALES Y CULTURALES
"Grupo 8201  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  09:00 a 12:00 A 312  11:00 a 15:00 A 308  HERAZO GONZALEZ KATHERINE ISABEL  LAS PRáCTICAS SE LLEVARAN A CABO CON POBLACIóN DEL PUEBLO DE LA CANDELARIA, EN COYOACáN, CDMX, ASí COMO A PERSONAS EN SITUACIóN DE MIGRACIóN FORZADA Y DEL MOVIMIENTO AFROMEXICANO.  1811  SEMINARIO DE COMUNICACION  17:00 a 20:00 A 302  RAMOS BELTRAN IGNACIO  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  17:30 a 20:30 A 303  HUIDOBRO MARQUEZ JUAN CARLOS  1815  EL DELITO: UNA CONSTRUCCION SOCIAL  10:00 a 15:00 URIDES 3 Edif C  12:00 a 15:00 Edif C Salon 3  GONZALEZ TAPIA FLOR PATRICIA  LAS PRACTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO. Grupo 8202  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  10:00 a 14:00 A 001  09:00 a 12:00 A 001  ORTIZ HERNANDEZ CITLALI QUETZALLI  LA PRACTICA SE LLEVARA A CABO LOS DIAS LUNES EN EL INAPAM COPILCO CON ADULTOS MAYORES.  1811  SEMINARIO DE COMUNICACION  12:00 a 15:00 A 207  GONZALEZ TAPIA FLOR PATRICIA  1812  SEXUALIDAD HUMANA Y GENERO  10:00 a 20:00 AULA PENDIENTE  MELENDEZ ZERMEÑO ZORAIDA  LA PRACTICA SE LLEVARA A CABO EN EL LA FACULTAD DE PSICOLOGíA CON COMUNIDAD UNIVERSITARIA.  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  15:00 a 18:00 A 207  HUIDOBRO MARQUEZ JUAN CARLOS  Grupo 8203  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1811  SEMINARIO DE COMUNICACION  13:00 a 16:00 A 302  SOLER ANGUIANO FRANCISCO LEONARDO  1812  SEXUALIDAD HUMANA Y GENERO  09:00 a 14:00 URIDES 2 Edif C  10:00 a 15:00 A 107  NIÑO CALIXTO ENA ERENDIRA  LA PRACTICA SE LLEVARA A CABO EN EL PROGRAMA DE SEXUALIDAD HUMANA CON COMUNIDAD UNIVERSITARIA.  1814  COMUNICACION Y PSICOLOGIA POLITICA  10:00 a 13:00 A 203  10:00 a 16:00 AULA PENDIENTE  SEGURA HIDALGO JESUS  Grupo 8204  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  15:00 a 18:30 URIDES 2 Edif C  09:30 a 13:00 URIDES 3 Edif C  LANDEROS MUGICA KARINA  LA PRACTICA SE LLEVARA A CABO CON POBLACIONES EN SITUACION DE MOVILIDAD, PARA CONOCER LOS DETALLES ESCRIBIR A LA PROFESORA KLM.SOCIALAMBIENTAL@GMAIL.COM  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  17:00 a 20:00 A 303  LOPEZ OLMEDO ROBERTO  1815  EL DELITO: UNA CONSTRUCCION SOCIAL  13:00 a 16:00 A 003  10:00 a 15:00 A 312  GONZALEZ TAPIA FLOR PATRICIA  LAS PRáCTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO. Grupo 8205  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1812  SEXUALIDAD HUMANA Y GENERO  10:00 a 15:00 Edif C Salon 1  10:00 a 15:00 A 202  TZOMPANTZI MIGUEL CLAUDIO ARTURO  LAS PRACTICAS CONSISTEN EN REVISIóN PERSONAL Y EL TRABAJO GRUPAL, CON EJERCICIOS VIVENCIALES Y CON PROPUESTAS DE INTERVENCIóN PSICOSOCIAL EN TEMAS RELACIONADOS A LA SEXUALIDAD HUMANA.  1814  COMUNICACION Y PSICOLOGIA POLITICA  10:00 a 13:00 AULA PENDIENTE  09:00 a 15:00 AULA PENDIENTE  LANDEROS MUGICA KARINA  LA TEORIA SERÁ IMPARTIDA POR EL DR. JUAN PABLO DUQUE PARRA.","Grupo 8201  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  09:00 a 12:00 A 312  11:00 a 15:00 A 308  HERAZO GONZALEZ KATHERINE ISABEL  LAS PRáCTICAS SE LLEVARAN A CABO CON POBLACIóN DEL PUEBLO DE LA CANDELARIA, EN COYOACáN, CDMX, ASí COMO A PERSONAS EN SITUACIóN DE MIGRACIóN FORZADA Y DEL MOVIMIENTO AFROMEXICANO.  1811  SEMINARIO DE COMUNICACION  17:00 a 20:00 A 302  RAMOS BELTRAN IGNACIO  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  17:30 a 20:30 A 303  HUIDOBRO MARQUEZ JUAN CARLOS  1815  EL DELITO: UNA CONSTRUCCION SOCIAL  10:00 a 15:00 URIDES 3 Edif C  12:00 a 15:00 Edif C Salon 3  GONZALEZ TAPIA FLOR PATRICIA  LAS PRACTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO. Grupo 8202  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  10:00 a 14:00 A 001  09:00 a 12:00 A 001  ORTIZ HERNANDEZ CITLALI QUETZALLI  LA PRACTICA SE LLEVARA A CABO LOS DIAS LUNES EN EL INAPAM COPILCO CON ADULTOS MAYORES.  1811  SEMINARIO DE COMUNICACION  12:00 a 15:00 A 207  GONZALEZ TAPIA FLOR PATRICIA  1812  SEXUALIDAD HUMANA Y GENERO  10:00 a 20:00 AULA PENDIENTE  MELENDEZ ZERMEÑO ZORAIDA  LA PRACTICA SE LLEVARA A CABO EN EL LA FACULTAD DE PSICOLOGíA CON COMUNIDAD UNIVERSITARIA.  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  15:00 a 18:00 A 207  HUIDOBRO MARQUEZ JUAN CARLOS  Grupo 8203  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1811  SEMINARIO DE COMUNICACION  13:00 a 16:00 A 302  SOLER ANGUIANO FRANCISCO LEONARDO  1812  SEXUALIDAD HUMANA Y GENERO  09:00 a 14:00 URIDES 2 Edif C  10:00 a 15:00 A 107  NIÑO CALIXTO ENA ERENDIRA  LA PRACTICA SE LLEVARA A CABO EN EL PROGRAMA DE SEXUALIDAD HUMANA CON COMUNIDAD UNIVERSITARIA.  1814  COMUNICACION Y PSICOLOGIA POLITICA  10:00 a 13:00 A 203  10:00 a 16:00 AULA PENDIENTE  SEGURA HIDALGO JESUS  Grupo 8204  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  15:00 a 18:30 URIDES 2 Edif C  09:30 a 13:00 URIDES 3 Edif C  LANDEROS MUGICA KARINA  LA PRACTICA SE LLEVARA A CABO CON POBLACIONES EN SITUACION DE MOVILIDAD, PARA CONOCER LOS DETALLES ESCRIBIR A LA PROFESORA KLM.SOCIALAMBIENTAL@GMAIL.COM  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  17:00 a 20:00 A 303  LOPEZ OLMEDO ROBERTO  1815  EL DELITO: UNA CONSTRUCCION SOCIAL  13:00 a 16:00 A 003  10:00 a 15:00 A 312  GONZALEZ TAPIA FLOR PATRICIA  LAS PRáCTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO. Grupo 8205  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1812  SEXUALIDAD HUMANA Y GENERO  10:00 a 15:00 Edif C Salon 1  10:00 a 15:00 A 202  TZOMPANTZI MIGUEL CLAUDIO ARTURO  LAS PRACTICAS CONSISTEN EN REVISIóN PERSONAL Y EL TRABAJO GRUPAL, CON EJERCICIOS VIVENCIALES Y CON PROPUESTAS DE INTERVENCIóN PSICOSOCIAL EN TEMAS RELACIONADOS A LA SEXUALIDAD HUMANA.  1814  COMUNICACION Y PSICOLOGIA POLITICA  10:00 a 13:00 AULA PENDIENTE  09:00 a 15:00 AULA PENDIENTE  LANDEROS MUGICA KARINA  LA TEORIA SERÁ IMPARTIDA POR EL DR. JUAN PABLO DUQUE PARRA.","Grupo 8201  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  09:00 a 12:00 A 312  11:00 a 15:00 A 308  HERAZO GONZALEZ KATHERINE ISABEL  LAS PRáCTICAS SE LLEVARAN A CABO CON POBLACIóN DEL PUEBLO DE LA CANDELARIA, EN COYOACáN, CDMX, ASí COMO A PERSONAS EN SITUACIóN DE MIGRACIóN FORZADA Y DEL MOVIMIENTO AFROMEXICANO.  1811  SEMINARIO DE COMUNICACION  17:00 a 20:00 A 302  RAMOS BELTRAN IGNACIO  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  17:30 a 20:30 A 303  HUIDOBRO MARQUEZ JUAN CARLOS  1815  EL DELITO: UNA CONSTRUCCION SOCIAL  10:00 a 15:00 URIDES 3 Edif C  12:00 a 15:00 Edif C Salon 3  GONZALEZ TAPIA FLOR PATRICIA  LAS PRACTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO. Grupo 8202  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  10:00 a 14:00 A 001  09:00 a 12:00 A 001  ORTIZ HERNANDEZ CITLALI QUETZALLI  LA PRACTICA SE LLEVARA A CABO LOS DIAS LUNES EN EL INAPAM COPILCO CON ADULTOS MAYORES.  1811  SEMINARIO DE COMUNICACION  12:00 a 15:00 A 207  GONZALEZ TAPIA FLOR PATRICIA  1812  SEXUALIDAD HUMANA Y GENERO  10:00 a 20:00 AULA PENDIENTE  MELENDEZ ZERMEÑO ZORAIDA  LA PRACTICA SE LLEVARA A CABO EN EL LA FACULTAD DE PSICOLOGíA CON COMUNIDAD UNIVERSITARIA.  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  15:00 a 18:00 A 207  HUIDOBRO MARQUEZ JUAN CARLOS  Grupo 8203  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1811  SEMINARIO DE COMUNICACION  13:00 a 16:00 A 302  SOLER ANGUIANO FRANCISCO LEONARDO  1812  SEXUALIDAD HUMANA Y GENERO  09:00 a 14:00 URIDES 2 Edif C  10:00 a 15:00 A 107  NIÑO CALIXTO ENA ERENDIRA  LA PRACTICA SE LLEVARA A CABO EN EL PROGRAMA DE SEXUALIDAD HUMANA CON COMUNIDAD UNIVERSITARIA.  1814  COMUNICACION Y PSICOLOGIA POLITICA  10:00 a 13:00 A 203  10:00 a 16:00 AULA PENDIENTE  SEGURA HIDALGO JESUS  Grupo 8204  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1810  INTERVENCION PSICOSOCIAL COMUNIDAD  15:00 a 18:30 URIDES 2 Edif C  09:30 a 13:00 URIDES 3 Edif C  LANDEROS MUGICA KARINA  LA PRACTICA SE LLEVARA A CABO CON POBLACIONES EN SITUACION DE MOVILIDAD, PARA CONOCER LOS DETALLES ESCRIBIR A LA PROFESORA KLM.SOCIALAMBIENTAL@GMAIL.COM  1813  COMUNICACION Y CONSTRUC. DE SENTIDO  17:00 a 20:00 A 303  LOPEZ OLMEDO ROBERTO  1815  EL DELITO: UNA CONSTRUCCION SOCIAL  13:00 a 16:00 A 003  10:00 a 15:00 A 312  GONZALEZ TAPIA FLOR PATRICIA  LAS PRáCTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO. Grupo 8205  CLAVE  ASIGNATURA  LUNES  MARTES  MIERCOLES  JUEVES  VIERNES  SABADO  PROFESOR  OBSERVACIONES  1812  SEXUALIDAD HUMANA Y GENERO  10:00 a 15:00 Edif C Salon 1  10:00 a 15:00 A 202  TZOMPANTZI MIGUEL CLAUDIO ARTURO  LAS PRACTICAS CONSISTEN EN REVISIóN PERSONAL Y EL TRABAJO GRUPAL, CON EJERCICIOS VIVENCIALES Y CON PROPUESTAS DE INTERVENCIóN PSICOSOCIAL EN TEMAS RELACIONADOS A LA SEXUALIDAD HUMANA.  1814  COMUNICACION Y PSICOLOGIA POLITICA  10:00 a 13:00 AULA PENDIENTE  09:00 a 15:00 AULA PENDIENTE  LANDEROS MUGICA KARINA  LA TEORIA SERÁ IMPARTIDA POR EL DR. JUAN PABLO DUQUE PARRA.",,,,,,,,PROCESOS PSICOSOCIALES Y CULTURALES
Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,Grupo 8201,PROCESOS PSICOSOCIALES Y CULTURALES
1810,INTERVENCION PSICOSOCIAL COMUNIDAD,,09:00 a 12:00 A 312,,,11:00 a 15:00 A 308,,HERAZO GONZALEZ KATHERINE ISABEL,"LAS PRáCTICAS SE LLEVARAN A CABO CON POBLACIóN DEL PUEBLO DE LA CANDELARIA, EN COYOACáN, CDMX, ASí COMO A PERSONAS EN SITUACIóN DE MIGRACIóN FORZADA Y DEL MOVIMIENTO AFROMEXICANO.",PROCESOS PSICOSOCIALES Y CULTURALES
1811,SEMINARIO DE COMUNICACION,,,,17:00 a 20:00 A 302,,,RAMOS BELTRAN IGNACIO,,PROCESOS PSICOSOCIALES Y CULTURALES
1813,COMUNICACION Y CONSTRUC. DE SENTIDO,,,17:30 a 20:30 A 303,,,,HUIDOBRO MARQUEZ JUAN CARLOS,,PROCESOS PSICOSOCIALES Y CULTURALES
1815,EL DELITO: UNA CONSTRUCCION SOCIAL,10:00 a 15:00 URIDES 3 Edif C,,,12:00 a 15:00 Edif C Salon 3,,,GONZALEZ TAPIA FLOR PATRICIA,LAS PRACTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO.,PROCESOS PSICOSOCIALES Y CULTURALES
Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,Grupo 8202,PROCESOS PSICOSOCIALES Y CULTURALES
1810,INTERVENCION PSICOSOCIAL COMUNIDAD,10:00 a 14:00 A 001,,,09:00 a 12:00 A 001,,,ORTIZ HERNANDEZ CITLALI QUETZALLI,LA PRACTICA SE LLEVARA A CABO LOS DIAS LUNES EN EL INAPAM COPILCO CON ADULTOS MAYORES.,PROCESOS PSICOSOCIALES Y CULTURALES
1811,SEMINARIO DE COMUNICACION,,,12:00 a 15:00 A 207,,,,GONZALEZ TAPIA FLOR PATRICIA,,PROCESOS PSICOSOCIALES Y CULTURALES
1812,SEXUALIDAD HUMANA Y GENERO,,10:00 a 20:00 AULA PENDIENTE,,,,,MELENDEZ ZERMEÑO ZORAIDA,LA PRACTICA SE LLEVARA A CABO EN EL LA FACULTAD DE PSICOLOGíA CON COMUNIDAD UNIVERSITARIA.,PROCESOS PSICOSOCIALES Y CULTURALES
1813,COMUNICACION Y CONSTRUC. DE SENTIDO,,,,15:00 a 18:00 A 207,,,HUIDOBRO MARQUEZ JUAN CARLOS,,PROCESOS PSICOSOCIALES Y CULTURALES
Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,Grupo 8203,PROCESOS PSICOSOCIALES Y CULTURALES
1811,SEMINARIO DE COMUNICACION,13:00 a 16:00 A 302,,,,,,SOLER ANGUIANO FRANCISCO LEONARDO,,PROCESOS PSICOSOCIALES Y CULTURALES
1812,SEXUALIDAD HUMANA Y GENERO,,,09:00 a 14:00 URIDES 2 Edif C,,10:00 a 15:00 A 107,,NIÑO CALIXTO ENA ERENDIRA,LA PRACTICA SE LLEVARA A CABO EN EL PROGRAMA DE SEXUALIDAD HUMANA CON COMUNIDAD UNIVERSITARIA.,PROCESOS PSICOSOCIALES Y CULTURALES
1814,COMUNICACION Y PSICOLOGIA POLITICA,10:00 a 13:00 A 203,10:00 a 16:00 AULA PENDIENTE,,,,,SEGURA HIDALGO JESUS,,PROCESOS PSICOSOCIALES Y CULTURALES
Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,Grupo 8204,PROCESOS PSICOSOCIALES Y CULTURALES
1810,INTERVENCION PSICOSOCIAL COMUNIDAD,15:00 a 18:30 URIDES 2 Edif C,,,09:30 a 13:00 URIDES 3 Edif C,,,LANDEROS MUGICA KARINA,"LA PRACTICA SE LLEVARA A CABO CON POBLACIONES EN SITUACION DE MOVILIDAD, PARA CONOCER LOS DETALLES ESCRIBIR A LA PROFESORA KLM.SOCIALAMBIENTAL@GMAIL.COM",PROCESOS PSICOSOCIALES Y CULTURALES
1813,COMUNICACION Y CONSTRUC. DE SENTIDO,,17:00 a 20:00 A 303,,,,,LOPEZ OLMEDO ROBERTO,,PROCESOS PSICOSOCIALES Y CULTURALES
1815,EL DELITO: UNA CONSTRUCCION SOCIAL,,13:00 a 16:00 A 003,,,10:00 a 15:00 A 312,,GONZALEZ TAPIA FLOR PATRICIA,LAS PRáCTICAS CONSISTEN EN VISITAS A INSTITUCIONES DEL SISTEMA DE JUSTICIA. CONSIDERAR TIEMPOS DE TRASLADO.,PROCESOS PSICOSOCIALES Y CULTURALES
Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,Grupo 8205,PROCESOS PSICOSOCIALES Y CULTURALES
1812,SEXUALIDAD HUMANA Y GENERO,,,,10:00 a 15:00 Edif C Salon 1,10:00 a 15:00 A 202,,TZOMPANTZI MIGUEL CLAUDIO ARTURO,"LAS PRACTICAS CONSISTEN EN REVISIóN PERSONAL Y EL TRABAJO GRUPAL, CON EJERCICIOS VIVENCIALES Y CON PROPUESTAS DE INTERVENCIóN PSICOSOCIAL EN TEMAS RELACIONADOS A LA SEXUALIDAD HUMANA.",PROCESOS PSICOSOCIALES Y CULTURALES
1814,COMUNICACION Y PSICOLOGIA POLITICA,10:00 a 13:00 AULA PENDIENTE,,09:00 a 15:00 AULA PENDIENTE,,,,LANDEROS MUGICA KARINA,LA TEORIA SERÁ IMPARTIDA POR EL DR. JUAN PABLO DUQUE PARRA.,PROCESOS PSICOSOCIALES Y CULTURALES
Selecciona el semestre a consultar  ----------- 2do Semestre 	4to Semestre 	6to Semestre 	8vo Semestre  OPTATIVAS DE GENERO (Plan 2008)  OPTATIVAS,Selecciona el tipo de busqueda  ----------- Grupo 	Asignatura,Selecciona el campo del conocimiento  ----------- CIENCIAS COGNITIVAS Y DEL COMPORTAMIENTO 	PROCESOS PSICOSOCIALES Y CULTURALES 	PSICOBIOLOGIA Y NEUROCIENCIAS 	PSICOLOGIA CLINICA Y DE LA SALUD 	PSICOLOGIA DE LA EDUCACION 	PSICOLOGIA ORGANIZACIONAL 	CONTEXTUAL,,,,,,,,PSICOBIOLOGIA Y NEUROCIENCIAS
,,,,,,,,,,PSICOBIOLOGIA Y NEUROCIENCIAS
,,,,,,,,,,PSICOBIOLOGIA Y NEUROCIENCIAS
